dataset,backbone,variant,rule_strength,weight_spatial,weight_temporal,weight_category_transition,weight_user_preference,weight_popularity,validation_recall_at_1,validation_recall_at_5,validation_recall_at_10,validation_recall_at_20,validation_mrr,validation_ndcg_at_5,validation_ndcg_at_10,validation_ndcg_at_20,validation_objective,test_recall_at_1,test_recall_at_5,test_recall_at_10,test_recall_at_20,test_mrr,test_ndcg_at_5,test_ndcg_at_10,test_ndcg_at_20,test_objective,test_delta_recall_at_1,test_delta_recall_at_5,test_delta_recall_at_10,test_delta_recall_at_20,test_delta_mrr,test_delta_ndcg_at_5,test_delta_ndcg_at_10,test_delta_ndcg_at_20,test_added_hits_at_1,test_added_hits_at_5,test_added_hits_at_10,test_added_hits_at_20
ca,R0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.2017568716350241,0.37687730235194106,0.4420515726834797,0.512609804477189,0.2850745497090298,0.2947445147039148,0.31594649501441935,0.3338058240489271,1.763723853304982,0.16870503597122302,0.3446043165467626,0.41942446043165466,0.4827338129496403,0.25401066371394015,0.26253792315487295,0.2867940656166681,0.30292153044467224,1.5359730473004678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ca,R0,full,0.25,0.26774796973030857,0.34117512657442334,0.018000778587927497,0.37015325599626697,0.0029228691110735907,0.20544063474071975,0.3845281949560782,0.45423632757155,0.512609804477189,0.2905169847420113,0.30104835423546317,0.3234310194581071,0.33838142093170714,1.7978560728964317,0.16942446043165468,0.35251798561151076,0.4309352517985611,0.4827338129496403,0.2583352465191564,0.2678627630152617,0.29345828786327866,0.30670633037372264,1.5564138368725475,0.0007194244604316613,0.007913669064748163,0.01151079136690647,0.0,0.004324582805216248,0.00532483986038873,0.006664222246610563,0.0037847999290503975,2,22,32,0
ca,R0,only_spatial,0.25,1.0,0.0,0.0,0.0,0.0,0.1907055823179371,0.389628790025503,0.4553697931425333,0.512609804477189,0.281208215965581,0.2955169232926923,0.31690733946479427,0.33153210082311346,1.7291762585555244,0.16223021582733813,0.36115107913669064,0.4330935251798561,0.4827338129496403,0.25329817416295636,0.26702064999723113,0.29039234335777825,0.3030449296042277,1.5303907666062306,-0.006474820143884896,0.016546762589928043,0.013669064748201454,0.0,-0.000712489550983797,0.004482726842358176,0.0035982777411101563,0.00012339915955544845,-18,46,38,0
ca,R0,only_temporal,0.25,0.0,1.0,0.0,0.0,0.0,0.19948994049305752,0.3743270048172287,0.44743553414565035,0.512609804477189,0.28443711063469407,0.29331146263371544,0.31682754865985263,0.33340611058539815,1.7500353400578683,0.1723021582733813,0.3464028776978417,0.4237410071942446,0.4827338129496403,0.25605783501306595,0.26452976452134075,0.2895790316362834,0.3045086140906388,1.5561991103257735,0.0035971223021582788,0.0017985611510791255,0.004316546762589968,0.0,0.002047171299125794,0.0019918413664677947,0.002784966019615309,0.0015870836459665472,10,5,12,0
ca,R0,only_category_transition,0.25,0.0,0.0,1.0,0.0,0.0,0.18985548313969963,0.3729101728534996,0.44545196939642956,0.512609804477189,0.27843000508105153,0.28828661330264954,0.31177436702593997,0.3288604297762255,1.6990487237959992,0.1564748201438849,0.33884892086330937,0.4197841726618705,0.4827338129496403,0.24585360838963255,0.25416164942402786,0.280713561795595,0.2967516661552456,1.4647634592525094,-0.012230215827338131,-0.005755395683453235,0.0003597122302158584,0.0,-0.008157055324307605,-0.008376273730845096,-0.006080503821073113,-0.006169864289426619,-34,-16,1,0
ca,R0,only_user_preference,0.25,0.0,0.0,0.0,1.0,0.0,0.2017568716350241,0.38226126381411163,0.4516860300368376,0.512609804477189,0.28822578041864017,0.2988442388582091,0.32109197927245575,0.33649939026496745,1.7763587696310572,0.17014388489208634,0.3532374100719424,0.42805755395683454,0.4827338129496403,0.25736428076957235,0.26761680495345747,0.2918512705465461,0.30579767141979436,1.5587940353633178,0.0014388489208633226,0.008633093525179825,0.00863309352517988,0.0,0.0033536170556321965,0.005078881798584511,0.00505720492987799,0.002876140975122121,4,24,24,0
ca,R0,only_popularity,0.25,0.0,0.0,0.0,0.0,1.0,0.19183904788892037,0.36979314253329554,0.4358175120430717,0.512609804477189,0.27854817665171494,0.28781676932677763,0.30927601726641013,0.3286133620624315,1.7035142800674694,0.17014388489208634,0.33741007194244604,0.41079136690647483,0.4827338129496403,0.25163349365954496,0.25866544093022936,0.2824172642822386,0.3006637094366712,1.5282845461005659,0.0014388489208633226,-0.0071942446043165575,-0.008633093525179825,0.0,-0.0023771700543951946,-0.003872482224643592,-0.00437680133442947,-0.0022578210080010375,4,-20,-24,0
ca,R0,without_spatial,0.25,0.0,0.46592581853104204,0.024582763643957034,0.5054998015641391,0.003991616260861832,0.20544063474071975,0.38112779824312837,0.45026919807310856,0.512609804477189,0.2897280428656334,0.2994814433065507,0.321700877208596,0.33760817723652226,1.7920998233781915,0.1723021582733813,0.35251798561151076,0.4273381294964029,0.4827338129496403,0.25849464447531695,0.2683125742292902,0.2925365079034107,0.3066151358724538,1.5685338374096431,0.0035971223021582788,0.007913669064748163,0.007913669064748219,0.0,0.0044839807613767935,0.00577465107441727,0.005742442286742588,0.0036936054277815766,10,22,22,0
ca,R0,without_temporal,0.25,0.4064023392713548,0.0,0.02732255461809144,0.5618386174032042,0.004436488707349586,0.20119013884953243,0.3873618588835364,0.45480306035704166,0.512609804477189,0.2880708821700937,0.3001341380449918,0.32180729096251137,0.33658605375191863,1.7803274344967517,0.16654676258992807,0.3550359712230216,0.4316546762589928,0.4827338129496403,0.25670507627060685,0.2673640896399281,0.2924529582598229,0.3055670869168963,1.5452921874932688,-0.002158273381294956,0.010431654676259006,0.012230215827338131,0.0,0.002694412556666692,0.004826166485055128,0.005658892643154834,0.0026455564722240865,-6,29,34,0
ca,R0,without_category_transition,0.25,0.27265598983398226,0.3474291212612452,0.0,0.37693844142157523,0.0029764474831972176,0.20544063474071975,0.3845281949560782,0.4539529611788042,0.512609804477189,0.29052544516314494,0.3010360894998741,0.3233526435509923,0.33839749554980625,1.7978522685819762,0.17014388489208634,0.35251798561151076,0.4309352517985611,0.4827338129496403,0.2588444137949367,0.26821330269472654,0.29384731199639025,0.3070986746912979,1.5601512416695194,0.0014388489208633226,0.007913669064748163,0.01151079136690647,0.0,0.004833750080996568,0.005675379539853587,0.007053246379722156,0.004177144246625686,4,22,32,0
